Model,Accuracy,Recall,ROC-AUC
Logistic Regression,0.815471965933286,0.579088471849866,0.861354508472471
Random Forest,0.7963094393186657,0.4718498659517426,0.8377019781175277
XGBoost,0.794180269694819,0.5201072386058981,0.8364559503969691
